Symbol,Name,IndustryCode,Industry
BNOX,Bionomics Ltd ADR,56202010,생명 공학 및 의학 연구
JVA,Coffee Holding Co Inc,54102020,식품 가공
COSM,Cosmos Health Inc,56201040,제약
WRNT,Warrantee Inc ADR,53302010,광고 및 마케팅
ELAB,ELEVAI Labs Inc,56202010,생명 공학 및 의학 연구
TKLF,Yoshitsu Co Ltd ADR,54301010,의약품 소매
BCDA,BioCardia Inc,56202010,생명 공학 및 의학 연구
GRTX,Galera Therapeutics Inc,56202010,생명 공학 및 의학 연구
RGF,Real Good Food Company Inc,54102020,식품 가공
MBRX,Moleculin Biotech Inc,56201040,제약
ARTW,Art's Way Manufacturing Co Inc,52102020,중장비 및 차량
TBIO,Telesis Bio Inc,56101010,첨단 의료 장비 및 기술
CMMB,Chemomab Therapeutics Ltd ADR,56202010,생명 공학 및 의학 연구
KAVL,Kaival Brands Innovations Group Inc,54301020,식품 소매 및 유통
PXSAP,Pyxis Tankers 7 75 Cumulative Convertible Pref Shs Series A,52405020,해양 화물 및 물류
WISA,WiSA Technologies Inc,57101010,반도체
JEWL,Adamas One Corp,53202020,의류 및 액세서리
MTEM,Molecular Templates Inc,56202010,생명 공학 및 의학 연구
BRTX,BioRestorative Therapies Inc,56202010,생명 공학 및 의학 연구
HIHO,Highway Holdings Ltd,51201020,철 및 강철
PWM,Prestige Wealth Inc,55102020,투자 관리 및 펀드 운영
LGVN,Longeveron Inc,56202010,생명 공학 및 의학 연구
PRPO,Precipio Inc,56101010,첨단 의료 장비 및 기술
AKTX,Akari Therapeutics PLC ADR,56202010,생명 공학 및 의학 연구
XXII,22nd Century Group Inc,54102030,담배
CREG,Smart Powerr Corp,50201010,재생 가능 에너지 장비 및 서비스
SPEC,Spectaire Holdings Inc,52203040,경영 지원 서비스
AEZS,Aeterna Zentaris Inc,56202010,생명 공학 및 의학 연구
VSME,VS Media Holdings Ltd,53302030,엔터테인먼트 제작
MRIN,Marin Software Inc,57201020,소프트웨어
LTRY,Lottery.com Inc,53301030,카지노 및 도박
ATIF,ATIF Holdings Ltd,52203070,전문 정보 서비스
BHAT,Blue Hat Interactive Entertainment Technology,53205010,장난감 및 어린이 제품
GSUN,Golden Sun Health Technology Group Ltd,63101010,기타 교육 서비스 제공
ELWS,Earlyworks Co Ltd ADR,57201010,IT 서비스 및 컨설팅
GRNQ,GreenPro Capital Corp,55101050,기업 금융 서비스
PBM,Psyence Biomedical Ltd,56201040,제약
CMAX,CareMax Inc,56102010,의료 시설 및 서비스
KZIA,Kazia Therapeutics Ltd ADR,56202010,생명 공학 및 의학 연구
SGD,Safe & Green Development Corp,52201020,건설 및 엔지니어링
WKSP,Worksport Ltd,52203040,경영 지원 서비스
JTAI,Jet.AI Inc,57201020,소프트웨어
WATT,Energous Corp,52102030,전기 부품 및 장비
VISL,Vislink Technologies Inc,57102010,통신 및 네트워킹
CYN,CYNGN Inc,57201020,소프트웨어
NVOS,Novo Integrated Sciences Inc,56102010,의료 시설 및 서비스
IDAI,T Stamp Inc,57201020,소프트웨어
ZAPP,Zapp Electric Vehicles Group Ltd,53101010,자동차 및 트럭 제조
LKCO,Luokung Technology Corp,57201020,소프트웨어
ADIL,Adial Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
NTBL,Notable Labs Ltd,56202010,생명 공학 및 의학 연구
SLE,Super League Enterprise Inc,57201030,온라인 서비스
CYCN,Cyclerion Therapeutics Inc,56202010,생명 공학 및 의학 연구
VIRI,Virios Therapeutics Inc,56202010,생명 공학 및 의학 연구
AIHS,Senmiao Technology Ltd,53403010,"자동차 차량, 부품 및 서비스 소매"
OST,Ostin Technology Group Co Ltd,57104010,전자 장비 및 부품
MSGM,Motorsport Games Inc,57201030,온라인 서비스
BFRI,Biofrontera Inc,56201040,제약
RAYA,Erayak Power Solution Group Inc,52102030,전기 부품 및 장비
ENG,ENGlobal Corp,52201020,건설 및 엔지니어링
BLBX,Blackboxstocks Inc,57201020,소프트웨어
PAVS,Paranovus Entertainment Technology Ltd,54102020,식품 가공
MEDS,TRxADE Health Inc,57201030,온라인 서비스
WAFU,Wah Fu Education Group Ltd,63101010,기타 교육 서비스 제공
ILAG,Intelligent Living Application Group Inc,52102010,산업용 기계 및 장비
MARPS,Marine Petroleum Units,50102020,"오일, 가스 탐사 및 생산"
GV,Visionary Holdings Inc,60101010,"부동산 임대, 개발 및 운영"
GVP,GSE Systems Inc,57201010,IT 서비스 및 컨설팅
PRZO,Parazero Technologies Ltd,52101010,항공우주 및 방위
NCNA,NuCana PLC ADR,56202010,생명 공학 및 의학 연구
VEEE,Twin Vee PowerCats Co,53205020,오락용 제품
DXYN,Dixie Group Inc,53204040,가정용 가구
UPC,Universe Pharmaceuticals Inc,56201040,제약
INBS,Intelligent Bio Solutions Inc,56202010,생명 공학 및 의학 연구
CARV,Carver Bancorp Inc,55101010,은행
BCAN,BYND Cannasoft Enterprises Inc,57201020,소프트웨어
IMCC,IM Cannabis Corp,56201040,제약
SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,57201010,IT 서비스 및 컨설팅
TFFP,TFF Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
CCLDO,CareCloud 8 75 Cumulative Redeemable Perpetual Pref Shs Series B,57201020,소프트웨어
ROMA,Roma Green Finance Ltd,52203040,경영 지원 서비스
UXIN,Uxin Ltd ADR,53403010,"자동차 차량, 부품 및 서비스 소매"
NIVF,NewGenIvf Group Ltd,56102010,의료 시설 및 서비스
SCKT,Socket Mobile Inc,57104010,전자 장비 및 부품
ISUN,iSun Inc,52201020,건설 및 엔지니어링
TC,TuanChe Ltd ADR,52203040,경영 지원 서비스
FATBB,FAT Brands Inc Class B,53301020,레스토랑 및 바
VCNX,Vaccinex Inc,56202010,생명 공학 및 의학 연구
JXJT,JX Luxventure Ltd,53202020,의류 및 액세서리
WLGS,WANG & LEE GROUP Inc,52201020,건설 및 엔지니어링
LIXT,Lixte Biotechnology Holdings Inc,56202010,생명 공학 및 의학 연구
SVMH,SRIVARU Holding Ltd,53101010,자동차 및 트럭 제조
KTTA,Pasithea Therapeutics Corp,56202010,생명 공학 및 의학 연구
BNZI,Banzai International Inc,57201010,IT 서비스 및 컨설팅
RVYL,Ryvyl Inc,57201020,소프트웨어
PIK,Kidpik Corp,53403040,의류 및 액세서리 소매
VVOS,Vivos Therapeutics Inc,56101020,"의료 장비, 물품 및 유통"
NURO,NeuroMetrix Inc,56101020,"의료 장비, 물품 및 유통"
PSTV,Plus Therapeutics Inc,56202010,생명 공학 및 의학 연구
TENX,Tenax Therapeutics Inc,56202010,생명 공학 및 의학 연구
CNET,ZW Data Action Technologies Inc,53302010,광고 및 마케팅
CLVR,Clever Leaves Holdings Inc,56201040,제약
PULM,Pulmatrix Inc,56202010,생명 공학 및 의학 연구
HSCS,Heart Test Laboratories Inc,56101010,첨단 의료 장비 및 기술
MGRX,Mangoceuticals Inc,56102010,의료 시설 및 서비스
OLB,OLB Group Inc,57201030,온라인 서비스
SYRA,Syra Health Corp,56102010,의료 시설 및 서비스
FRZA,Forza X1 Inc,53205020,오락용 제품
CPOP,Pop Culture Group Co Ltd,53301040,여가 및 오락시설
SPGC,Sacks Parente Golf Inc,53205020,오락용 제품
CVKD,Cadrenal Therapeutics Inc,56202010,생명 공학 및 의학 연구
MIND,Mind Technology Inc,50103020,오일 관련 서비스 및 장비
ENVB,Enveric Biosciences Inc,56202010,생명 공학 및 의학 연구
VMAR,Vision Marine Technologies Inc,53205020,오락용 제품
AQB,AquaBounty Technologies Inc,56202010,생명 공학 및 의학 연구
SHPH,Shuttle Pharmaceuticals Holdings Inc,56201040,제약
TRVN,Trevena Inc,56202010,생명 공학 및 의학 연구
AVGR,Avinger Inc,56101010,첨단 의료 장비 및 기술
LMFA,LM Funding America Inc,55101030,소비자 대출
LIDR,AEye Inc,57104010,전자 장비 및 부품
EFTR,eFFECTOR Therapeutics Inc,56202010,생명 공학 및 의학 연구
EFOI,Energy Focus Inc,53203020,건설 자재 및 비품
CELZ,Creative Medical Technology Holdings Inc,56202010,생명 공학 및 의학 연구
AYRO,AYRO Inc,53101010,자동차 및 트럭 제조
TTNP,Titan Pharmaceuticals Inc,56201040,제약
HCTI,Healthcare Triangle Inc,57201020,소프트웨어
XBIO,Xenetic Biosciences Inc,56202010,생명 공학 및 의학 연구
QH,Quhuo Ltd ADR,52405010,"배달, 우편, 항공 화물 및 육상 물류"
GXAI,Gaxos.AI Inc,57201020,소프트웨어
POLA,Polar Power Inc,52102030,전기 부품 및 장비
CAUD,Collective Audience Inc,57201010,IT 서비스 및 컨설팅
OPGN,OpGen Inc,56202010,생명 공학 및 의학 연구
AIMD,Ainos Inc,56202010,생명 공학 및 의학 연구
XRTX,XORTX Therapeutics Inc,56202010,생명 공학 및 의학 연구
SLNH,Soluna Holdings Inc,57201010,IT 서비스 및 컨설팅
GROM,Grom Social Enterprises Inc,57201030,온라인 서비스
PTIX,Protagenic Therapeutics Inc,56202010,생명 공학 및 의학 연구
DGLY,Digital Ally Inc,57102010,통신 및 네트워킹
OXBR,Oxbridge Re Holdings Ltd,55301050,재보험
BON,Bon Natural Life Ltd,56201040,제약
ANTE,Airnet Technology Inc ADR,53302010,광고 및 마케팅
ATXI,Avenue Therapeutics Inc,56202010,생명 공학 및 의학 연구
GPAK,Gamer Pakistan Inc,53301040,여가 및 오락시설
CYCCP,Cyclacel Pharmaceuticals 6 Conv Pref Shs,56202010,생명 공학 및 의학 연구
GDC,GD Culture Group Ltd,53302010,광고 및 마케팅
XWEL,XWELL Inc,54201030,개인 서비스
ASST,Asset Entities Inc,57201030,온라인 서비스
AEI,Alset Inc,52201020,건설 및 엔지니어링
XELAP,Exela Technologies 6 00 Cum Convt Perptl Pref Shs Series B,57201010,IT 서비스 및 컨설팅
FWBI,First Wave BioPharma Inc,56202010,생명 공학 및 의학 연구
OMQS,Omniq Corp,57201010,IT 서비스 및 컨설팅
APDN,Applied DNA Sciences Inc,56101020,"의료 장비, 물품 및 유통"
IONM,Assure Holdings Corp,56102010,의료 시설 및 서비스
SNTG,Sentage Holdings Inc,55101030,소비자 대출
PXMD,PaxMedica Inc,56202010,생명 공학 및 의학 연구
MOB,Mobilicom Ltd ADR,52203040,경영 지원 서비스
YOSH,Yoshiharu Global Co,53301020,레스토랑 및 바
SILO,Silo Pharma Inc,56201040,제약
ADD,Color Star Technology Co Ltd,63101010,기타 교육 서비스 제공
OCTO,Eightco Holdings Inc,51302020,종이 포장재
GWAV,Greenwave Technology Solutions Inc,52203010,환경 서비스 및 장비
BTCT,BTC Digital Ltd,57301030,블록 체인 및 암호화폐
LQR,LQR House Inc,54301020,식품 소매 및 유통
MYMD,Mymd Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
SONN,Sonnet Biotherapeutics Holdings Inc,56201040,제약
FORD,Forward Industries Inc,53202020,의류 및 액세서리
CEAD,CEA Industries Inc,52102030,전기 부품 및 장비
VERO,Venus Concept Inc,56101010,첨단 의료 장비 및 기술
KA,Kineta Inc,56202010,생명 공학 및 의학 연구
RVSN,Rail Vision Ltd,57104010,전자 장비 및 부품
BOXL,Boxlight Corp,57104010,전자 장비 및 부품
NLSP,NLS Pharmaceutics AG,56202010,생명 공학 및 의학 연구
GTBP,GT Biopharma Inc,56201040,제약
DRUG,Bright Minds Biosciences Inc,56202010,생명 공학 및 의학 연구
IFBD,Infobird Co Ltd,57201020,소프트웨어
HOTH,Hoth Therapeutics Inc,56201040,제약
BAOS,Baosheng Media Group Holdings Ltd,53302010,광고 및 마케팅
AFIB,Acutus Medical Inc,56101020,"의료 장비, 물품 및 유통"
THMO,Thermogenesis Holdings Inc,57105010,사무기기
LCFY,Locafy Ltd,57201020,소프트웨어
WHLRP,Wheeler Real Estate Investment Trust Series B Conv Prf Shs,60102020,상업용 REITs
SOBR,Sobr Safe Inc,57201020,소프트웨어
LFLY,Leafly Holdings Inc,57201020,소프트웨어
LUXHP,LuxUrban Hotels 13 00 Cumulative Redeemable Preferred Shs Series A,60101010,"부동산 임대, 개발 및 운영"
SNPX,Synaptogenix Inc,56202010,생명 공학 및 의학 연구
TGL,Treasure Global Inc,57201020,소프트웨어
DBGI,Digital Brands Group Inc,53403040,의류 및 액세서리 소매
MICS,Singing Machine Company Inc,57106030,가정용 전자 제품
XCUR,Exicure Inc,56202010,생명 공학 및 의학 연구
RETO,ReTo Eco-Solutions Inc,51202010,건설 자재
AMST,Amesite Inc,57201020,소프트웨어
FAMI,Farmmi Inc,54102010,어업 및 농업
MNTS,Momentus Inc,52101010,항공우주 및 방위
NVFY,Nova LifeStyle Inc,53204040,가정용 가구
AUUD,Auddia Inc,57201020,소프트웨어
STSS,Sharps Technology Inc,56101020,"의료 장비, 물품 및 유통"
EZGO,EZGO Technologies Ltd,53205020,오락용 제품
BIOL,BIOLASE Inc,56101010,첨단 의료 장비 및 기술
KXIN,Kaixin Holdings,53403010,"자동차 차량, 부품 및 서비스 소매"
LIPO,Lipella Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
CAMP,CalAmp Corp,57401020,무선 통신 서비스
MDRRP,Medalist Diversified REIT Cumulative Redeemable Pref Shs Series A,60102020,상업용 REITs
TCON,TRACON Pharmaceuticals Inc,56201040,제약
PTPI,Petros Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
CJJD,China Jo-Jo Drugstores Inc,54301010,의약품 소매
ZVSA,Zyversa Therapeutics Inc,56202010,생명 공학 및 의학 연구
KWE,Kwesst Micro Systems Inc,52101010,항공우주 및 방위
PRTG,Portage Biotech Inc,56202010,생명 공학 및 의학 연구
ALZN,Alzamend Neuro Inc,56202010,생명 공학 및 의학 연구
VRPX,Virpax Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
POAI,Predictive Oncology Inc,56101020,"의료 장비, 물품 및 유통"
SEEL,Seelos Therapeutics Inc,56202010,생명 공학 및 의학 연구
SOPA,Society Pass Inc,57201010,IT 서비스 및 컨설팅
SISI,Shineco Inc,54102020,식품 가공
NXU,NXU Inc.,52102030,전기 부품 및 장비
SNGX,Soligenix Inc,56202010,생명 공학 및 의학 연구
BNRG,Brenmiller Energy Ltd,50201010,재생 가능 에너지 장비 및 서비스
SNAX,Stryve Foods Inc,54102020,식품 가공
CSSE,Chicken Soup for The Soul Entertainment Inc,53302030,엔터테인먼트 제작
BOF,BranchOut Food Inc,54102020,식품 가공
SMX,SMX (Security Matters) PLC,57301030,블록 체인 및 암호화폐
EGOX,NexteGO NV,53101020,"자동차, 트럭 및 오토바이 부품"
TCBP,TC BioPharm Ltd ADR,56202010,생명 공학 및 의학 연구
HSDT,Helius Medical Technologies Inc,56101010,첨단 의료 장비 및 기술
NEXI,Neximmune Inc,56202010,생명 공학 및 의학 연구
PCSA,Processa Pharmaceuticals Inc,56201040,제약
THAR,Tharimmune Inc,56202010,생명 공학 및 의학 연구
CING,Cingulate Inc,56202010,생명 공학 및 의학 연구
REBN,Reborn Coffee Inc,53301020,레스토랑 및 바
PALI,Palisade Bio Inc,56202010,생명 공학 및 의학 연구
WAVD,WaveDancer Inc,57201010,IT 서비스 및 컨설팅
VLCN,Volcon Inc,53101010,자동차 및 트럭 제조
GNPX,Genprex Inc,56202010,생명 공학 및 의학 연구
YTEN,Yield10 Bioscience Inc,56202010,생명 공학 및 의학 연구
GGE,Green Giant Inc,60101010,"부동산 임대, 개발 및 운영"
INVO,INVO Bioscience Inc,56101020,"의료 장비, 물품 및 유통"
XYLO,Xylo Technologies Ltd ADR,56101010,첨단 의료 장비 및 기술
KTRA,Kintara Therapeutics Inc,56202010,생명 공학 및 의학 연구
ARTL,Artelo Biosciences Inc,56202010,생명 공학 및 의학 연구
IMTE,Integrated Media Technology Ltd,57104010,전자 장비 및 부품
SBET,Sharplink Gaming Inc,57201010,IT 서비스 및 컨설팅
AGFY,Agrify Corp,54102010,어업 및 농업
EVOK,Evoke Pharma Inc,56201040,제약
XLYO,Xylo Technologies Ltd ADR,56101010,첨단 의료 장비 및 기술
ADTX,Aditxt Inc,56202010,생명 공학 및 의학 연구
NVVE,Nuvve Holding Corp,59101010,전력 유틸리티
RSLS,ReShape Lifesciences Inc,56101010,첨단 의료 장비 및 기술
ATXG,Addentax Group Corp,52405010,"배달, 우편, 항공 화물 및 육상 물류"
CDZIP,Cadiz Depositary Shares,59103010,수자원 유틸리티
MGOL,MGO Global Inc,53302010,광고 및 마케팅
FUV,Arcimoto Inc,53101010,자동차 및 트럭 제조
AUVIP,Applied UV Pref Shs Series A,52102030,전기 부품 및 장비
MBIO,Mustang Bio Inc,56202010,생명 공학 및 의학 연구
ISPC,iSpecimen Inc,57201020,소프트웨어
JCSE,JE Cleantech Holdings Ltd,52102010,산업용 기계 및 장비
FNCH,Finch Therapeutics Group Inc,56202010,생명 공학 및 의학 연구
BPTS,Biophytis SA ADR,56202010,생명 공학 및 의학 연구
CMND,Clearmind Medicine Inc,56202010,생명 공학 및 의학 연구
AEMD,Aethlon Medical Inc,56101010,첨단 의료 장비 및 기술
DATS,DatChat Inc,57201010,IT 서비스 및 컨설팅
REVB,Revelation Biosciences Inc,56202010,생명 공학 및 의학 연구
PSNYW,Polestar Automotive Holding Uk Plc ADR,53101010,자동차 및 트럭 제조
TRNR,Interactive Strength Inc,53301040,여가 및 오락시설
SNES,Senestech Inc,56202010,생명 공학 및 의학 연구
ZCMD,Zhongchao Inc,63103010,전문 및 비즈니스 교육
NITO,N2OFF Inc,51101020,농화학제
BACK,IMAC Holdings Inc,56102010,의료 시설 및 서비스
HPCO,Hempacco Co Inc,54102030,담배
GOVX,GeoVax Labs Inc,56202010,생명 공학 및 의학 연구
WKEY,Wisekey International Holding AG ADR,57101010,반도체
BDRX,Biodexa Pharmaceuticals PLC ADR,56202010,생명 공학 및 의학 연구
ALBT,Avalon Globocare Corp,56102010,의료 시설 및 서비스
CLEU,China Liberal Education Holdings Ltd,63101010,기타 교육 서비스 제공
LUCY,Innovative Eyewear Inc,56101020,"의료 장비, 물품 및 유통"
IVP,Inspire Veterinary Partners Inc,56102010,의료 시설 및 서비스
AGRI,AgriFORCE Growing Systems Ltd,56201040,제약
CYTO,Altamira Therapeutics Ltd,56202010,생명 공학 및 의학 연구
SPRC,Scisparc Ltd,56201040,제약
VINO,Gaucho Group Holdings Inc,60101010,"부동산 임대, 개발 및 운영"
SBFM,Sunshine Biopharma Inc,56201040,제약
INTZ,Intrusion Inc,57201010,IT 서비스 및 컨설팅
VS,Versus Systems Inc,57201020,소프트웨어
CETX,Cemtrex Inc,52203040,경영 지원 서비스
PRSO,Peraso Inc,57101010,반도체
BPTH,Bio Path Holdings Inc,56202010,생명 공학 및 의학 연구
OCG,Oriental Culture Holding Ltd,53302010,광고 및 마케팅
APVO,Aptevo Therapeutics Inc,56202010,생명 공학 및 의학 연구
WNW,Meiwu Technology Co Ltd,53402010,백화점
WINT,Windtree Therapeutics Inc,56202010,생명 공학 및 의학 연구
DCFC,Tritium Dcfc Ltd,52102030,전기 부품 및 장비
PEGY,Pineapple Energy Inc,59101010,전력 유틸리티
BKYI,BIO-Key International Inc,57104010,전자 장비 및 부품
AUVI,Applied UV Inc,52102030,전기 부품 및 장비
ONCO,Onconetix Inc,56201040,제약
PHIO,Phio Pharmaceuticals Corp,56202010,생명 공학 및 의학 연구
RNAZ,Transcode Therapeutics Inc,56202010,생명 공학 및 의학 연구
SXTP,60 Degrees Pharmaceuticals Inc,56201040,제약
WORX,Scworx Corp,52203040,경영 지원 서비스
CISS,C3is Inc,52203040,경영 지원 서비스
LGHL,Lion Group Holding Ltd ADR,55102010,투자 은행 및 중개 서비스
TNON,Tenon Medical Inc,56101020,"의료 장비, 물품 및 유통"
SECO,Secoo Holding Ltd ADR,57201030,온라인 서비스
LYT,Lytus Technologies Holdings Ptv Ltd,57201030,온라인 서비스
DYNT,Dynatronics Corp,56101010,첨단 의료 장비 및 기술
LXEH,Lixiang Education Holding Co Ltd ADR,63102010,"초, 중, 고등 교육기관"
MVLA,Movella Holdings Inc,57201020,소프트웨어
CRKN,Crown Electrokinetics Corp.,51202010,건설 자재
RKDA,Arcadia Biosciences Inc,51101020,농화학제
FFIE,Faraday Future Intelligent Electric Inc,53101010,자동차 및 트럭 제조
BSFC,Blue Star Foods Corp,54102020,식품 가공
TIRX,Tian Ruixiang Holdings Ltd,55301010,복합보험 및 중개인
NDRA,ENDRA Life Sciences Inc,56202010,생명 공학 및 의학 연구
NTRP,NextTrip Inc,53301040,여가 및 오락시설
JWEL,Jowell Global Ltd,53402010,백화점
TANH,Tantech Holdings Ltd,54201020,개인 생활 필수 용품
SGBX,Safe & Green Holdings Corp,53203010,주택 건설
NCPL,Netcapital Inc,57301090,기타 핀테크 인프라
STAF,Staffing 360 Solutions Inc,52203030,고용 서비스
MYSZ,My Size Inc,57201020,소프트웨어
GNLN,Greenlane Holdings Inc,54301020,식품 소매 및 유통
SNOA,Sonoma Pharmaceuticals Inc,56201040,제약
CYCC,Cyclacel Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
ONFO,Onfolio Holdings Inc,52203040,경영 지원 서비스
GLMD,Galmed Pharmaceuticals Ltd,56202010,생명 공학 및 의학 연구
RCRT,Recruiter.Com Group Inc,52203030,고용 서비스
DRMA,Dermata Therapeutics Inc,56202010,생명 공학 및 의학 연구
FRGT,Freight Technologies Inc,52405030,지상 화물 및 물류
SPCB,Supercom Ltd,57201020,소프트웨어
